Gene,IG,GainRatio,Gini,Relief,Cumulative_Weight
BraA08g026660,0.2932617732999429,0.24411870873450556,0.3926701364245725,0.21727134062814613,1.147321959087167
BraA03g033410,0.275471479372665,0.22952108207662705,0.38204465999001136,0.2568997916591487,1.143937013098452
BraA07g004410,0.3142854042587553,0.27262566328075605,0.3478973952122755,0.1951346635530118,1.1299431263047985
BraA05g028650,0.3142854042587553,0.27262566328075605,0.32052874378992197,0.2160075456529964,1.1234473569824297
BraA07g007250,0.275471479372665,0.24411870873450556,0.38204465999001136,0.2212792413980354,1.1229140894952172
BraA04g027340,0.27750377407745147,0.21527409375330153,0.3478973952122755,0.2579913680065496,1.098666631049578
BraA01g020090,0.27750377407745147,0.21527409375330153,0.3478973952122755,0.2565580829268693,1.0972333459698977
BraA09g053850,0.27379691750932833,0.20830501565844697,0.38119582023725035,0.21900406514312107,1.0823018185481468
BraA03g005790,0.2932617732999429,0.22696021520617055,0.3926701364245725,0.1545945766203656,1.0674867015510516
BraA06g000430,0.2679005757110407,0.20897694770375505,0.37757836660896804,0.2077828579600415,1.0622387479838054
BraA05g003020,0.26867790078404913,0.23014594079614337,0.2654364797728887,0.27550657830578146,1.0397668996588627
BraA05g004140,0.27750377407745147,0.23014594079614337,0.3478973952122755,0.1717414931366555,1.0272886032225257
BraA04g021280,0.23757209233881327,0.19079883095899408,0.32548348413306805,0.255737009704142,1.0095914171350173
BraA04g022870,0.26867790078404913,0.23014594079614337,0.2654364797728887,0.2388301236622675,1.0030904450153486
BraA03g045730,0.21006215790367067,0.24411870873450556,0.24214210764022065,0.2978528425233366,0.9941758168017336
BraA07g041200,0.26867790078404913,0.23014594079614337,0.28739213652376916,0.2021718396578499,0.9883878177618116
BraA09g061950,0.23757209233881327,0.24411870873450556,0.32548348413306805,0.17024484409795246,0.9774191293043394
BraA10g023730,0.2255477219284999,0.20331520202813844,0.3031585470667562,0.24429913354720945,0.976320604570604
BraA03g056010,0.23757209233881327,0.16746123741874183,0.32548348413306805,0.2381084061128655,0.9686252200034886
BraA10g017790,0.24212895129887557,0.2205863452780822,0.3259674636537657,0.1741611088258544,0.9628438690565779
BraA08g024080,0.20352345235433442,0.13492173629362572,0.3031585470667562,0.28176015198410437,0.9233638876988208
BraA08g012500,0.22808817741937115,0.1654885336658099,0.3031585470667562,0.1769989936556446,0.8737342518075819
